time_s,episode,attempt,sof_hex,residual,timing_accurate,episode_done,checksum_hex,packet_bytes,packet_size,timestamp
94.2040263830022,3,89,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.673
94.21417297000153,3,90,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.683
94.2243734750009,3,91,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.694
94.2345144739993,3,92,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.704
94.24467028000072,3,93,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.714
94.25482636599918,3,94,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.724
94.26507575900177,3,95,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.734
94.27531677200022,3,96,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.745
94.28559103000225,3,97,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.755
94.29590439800086,3,98,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.765
94.3061962560023,3,99,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.775
94.3164101700022,3,100,0xBBBB,0.0,True,True,0x97C1,BBBB00000000010197C1,10,17:13:06.786
94.83285692000209,3,101,0xBBBB,0.0,True,False,0x5700,BBBB0000000001005700,10,17:13:07.302
94.8431764349989,3,102,0xBBBB,0.0,True,False,0x5700,BBBB0000000001005700,10,17:13:07.312
94.85346382300122,3,103,0xBBBB,0.0,True,False,0x5700,BBBB0000000001005700,10,17:13:07.323
94.86373612500029,3,104,0xBBBB,0.0,True,False,0x5700,BBBB0000000001005700,10,17:13:07.333
94.87403245200039,3,105,0xBBBB,0.0,True,False,0x5700,BBBB0000000001005700,10,17:13:07.343
94.8843187220009,3,106,0xBBBB,0.0,True,False,0x5700,BBBB0000000001005700,10,17:13:07.354
94.89448654100124,3,107,0xBBBB,0.0,True,False,0x5700,BBBB0000000001005700,10,17:13:07.364
94.90473649400155,3,108,0xBBBB,0.0,True,False,0x5700,BBBB0000000001005700,10,17:13:07.374
94.91499147500144,3,109,0xBBBB,0.0,True,False,0x5700,BBBB0000000001005700,10,17:13:07.384
94.92515510299927,3,110,0xBBBB,0.0,True,False,0x5700,BBBB0000000001005700,10,17:13:07.394
