time(ms),Pos1_act(mm),Pos2_act(mm),Pos3_act(mm),Pos4_act(deg),Pos5_act(deg),Pos6_act(deg),Force_x(N),Force_y(N),Force_z(N),Torque_x(Nmm),Torque_y(Nmm),Torque_z(Nmm),vz_mms(mm/s),PID_error_chamber(N),P_AO_chamber(MPa),V_AO_chamber(V),P_AO_spindle(MPa),V_AO_spindle(V),P_AI_chamber(MPa),V_AI_chamber(V),P_AI_spindle(MPa),V_AI_spindle(V),RL_pressure(MPa),RL_confirm_flag,RL_episode_flag
84.9295,-253.741,366.682,443.262,70.062,-179.878,-108.534,0.0615064,-0.0203184,0.285779,0.00169569,-0.00552629,-0.000163234,-0.0114865,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
85.6905,-253.741,366.682,443.262,70.062,-179.878,-108.534,0.0620203,-0.0212923,0.286249,0.00181826,-0.00546272,-0.000165985,-0.0116901,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
86.4339,-253.741,366.682,443.262,70.062,-179.878,-108.534,0.0620203,-0.0212923,0.286249,0.00181826,-0.00546272,-0.000165985,-0.0118996,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
87.1223,-253.741,366.682,443.262,70.062,-179.878,-108.534,0.0624111,-0.0223538,0.286548,0.00194419,-0.00538435,-0.000171131,-0.0121048,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
87.802,-253.741,366.683,443.262,70.0619,-179.878,-108.534,0.0626839,-0.0234981,0.286683,0.00207323,-0.00529188,-0.000178563,-0.0122974,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
88.4832,-253.741,366.683,443.262,70.0619,-179.878,-108.534,0.0628743,-0.0246887,0.286747,0.00220177,-0.00518801,-0.000184794,-0.01249,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
89.0648,-253.741,366.683,443.262,70.0619,-179.878,-108.534,0.0628743,-0.0246887,0.286747,0.00220177,-0.00518801,-0.000184794,-0.0126828,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
89.6266,-253.741,366.683,443.262,70.0619,-179.878,-108.534,0.0630477,-0.0258588,0.286918,0.00232302,-0.00507731,-0.000183112,-0.0128512,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
90.3739,-253.741,366.683,443.262,70.0619,-179.878,-108.534,0.0630477,-0.0258588,0.286918,0.00232302,-0.00507731,-0.000183112,-0.0130102,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
91.1404,-253.741,366.683,443.262,70.0619,-179.878,-108.534,0.0632355,-0.0269763,0.287277,0.00243382,-0.00496217,-0.000170483,-0.0132269,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
91.8552,-253.741,366.683,443.262,70.0619,-179.878,-108.534,0.063437,-0.0280425,0.287817,0.00253454,-0.00484291,-0.000147395,-0.0134524,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
92.5657,-253.741,366.683,443.262,70.0619,-179.878,-108.534,0.0636512,-0.0290586,0.288528,0.00262551,-0.00471981,-0.000114325,-0.013662,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
93.3598,-253.741,366.683,443.262,70.0619,-179.878,-108.534,0.0636512,-0.0290586,0.288528,0.00262551,-0.00471981,-0.000114325,-0.013873,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
94.2287,-253.741,366.683,443.262,70.0619,-179.878,-108.534,0.0638776,-0.0300257,0.289402,0.00270707,-0.00459317,-7.17379e-05,-0.0141098,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
95.0842,-253.741,366.682,443.262,70.062,-179.878,-108.534,0.0641152,-0.0309451,0.290432,0.00277954,-0.00446325,-2.00891e-05,-0.0143737,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
95.868,-253.741,366.682,443.262,70.062,-179.878,-108.534,0.0643635,-0.031818,0.29161,0.00284325,-0.00433032,4.0178e-05,-0.0146331,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
96.5567,-253.741,366.682,443.262,70.062,-179.878,-108.534,0.0646216,-0.0326455,0.292928,0.00289853,-0.00419465,0.000108631,-0.0148731,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
97.2853,-253.741,366.682,443.262,70.062,-179.878,-108.534,0.0646216,-0.0326455,0.292928,0.00289853,-0.00419465,0.000108631,-0.0150879,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
98.1587,-253.741,366.682,443.262,70.062,-179.878,-108.534,0.064889,-0.0334288,0.294379,0.00294568,-0.00405648,0.000184847,-0.0153136,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
98.9174,-253.741,366.682,443.262,70.062,-179.878,-108.534,0.0651528,-0.0341714,0.295724,0.00298501,-0.00391605,0.000268416,-0.01559,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
99.6878,-253.741,366.682,443.262,70.062,-179.878,-108.534,0.0653885,-0.0348793,0.296503,0.00301822,-0.00377069,0.000357974,-0.0158284,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
100.441,-253.741,366.683,443.262,70.0619,-179.878,-108.534,0.0653885,-0.0348793,0.296503,0.00301822,-0.00377069,0.000357974,-0.0160732,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
101.197,-253.741,366.683,443.262,70.0619,-179.878,-108.534,0.0655849,-0.0355554,0.296508,0.00304835,-0.00361489,0.000451245,-0.0163154,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
102.048,-253.74,366.683,443.262,70.0618,-179.878,-108.534,0.0657435,-0.0362007,0.295773,0.0030769,-0.00344635,0.000547016,-0.0165606,0,0.2,5,0,0,0.199569,4.98923,0.000244675,0.00407791,0,0,0
